Parcel ID,Address
1003181002,210 9TH AVE SE
1003181003, 1ST ST E
1003251001,105 TERRACE DR SE
1003252001,104 TERRACE DR SE
1003252009,1211 1ST ST E
1003252010,1217 1ST ST E
1003255001,1401 1ST ST E
1003255011,1511 1ST ST E
635382018,105 15TH AVE NE
635383015,1502 1ST ST E
635381023,1300 1ST ST  E
635382017,107 15TH AVE NE
635383014,106 15TH AVE NE
635380007,111 12TH AVE NE
635382008,1402 1ST ST E
635381020, 14TH AVE NE
635382016,111 15TH AVE NE
635383013,110 15TH AVE NE
635452008,1616 1ST STREET EAST
635381024,100 12TH AVE NE
635382007,108 14TH AVE NE
635381019,113 14TH AVE NE
635380006,201 12TH AVE NE
635362003,1015 2ND ST NE
635362004,1103 2ND ST NE
635362005,1109 2ND ST NE
635362006,1115 2ND ST NE
635363001,1100 1ST ST EAST
635382015,115 15TH AVE NE
635383012,116 15TH AVE NE
635382006,118 14TH AVE NE
635381013,198 12TH AVE NE
635380005,205 12TH AVE NE
635381018,119 14TH AVE NE
635381002,212 12TH AVE NE
635381005,200 12TH AVE NE
635382014,117 15TH AVE NE
635383011,118 15TH AVE NE
635382005,122 14TH AVE NE
635359011,1016 2ND ST NE
635380004,207 12TH AVE NE
635382013,123 15TH AVE NE
635381004,208 12TH AVE NE
635381017,123 14TH AVE NE
635382004,128 14TH AVE NE
635382012,127 15TH AVE NE
635383009, 15TH AVE NE
635359010,203 11TH AVE NE
635360005,1100 2ND ST NE
635360006,1100 2ND ST NE
635381003,210 12TH AVE NE
635380010,213 12TH AVE NE
635382011,131 15TH AVE NE
635383008,132 15TH AVE NE
635453013, ROBERTS CT
635360001,216 11TH AVE NE
635360002,1105 3RD ST NE
635383007,136 15TH AVE NE
635360003,1111 3RD ST NE
635360004,1113 3RD ST NE
635380008,1117 3RD ST NE
635381007,1303 3RD ST NE
635381008,1307 3RD ST NE
635381009,1313 3RD ST NE
635381010,139 14TH AVE NE
635382001,140 14TH AVE NE
635382009,142 15TH AVE NE
635383006,140 15TH AVE NE
